Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Филиал республиканского государственного учреждения ""Администратор судов по Карагандинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)"" - канцелярия Темиртауского городского суда Карагандинской области",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2831762,Молодежная практика,Юриспруденция
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Филиал республиканского государственного учреждения ""Администратор судов по Карагандинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)"" - канцелярия Темиртауского городского суда Карагандинской области",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2831739,Первое рабочее место,Юриспруденция
Электрогазосварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью фирма ""777""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Кислородная резка металлов;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~2815710,Первое рабочее место,Сервисное обслуживание/производство
Маляр-штукатур,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью фирма ""777""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Выполнение внешний штукатурки стен;,https://enbek.kz/ru/vacancy/malyar-shtukatur~2815711,Первое рабочее место,Строительство и архитектура
Электрогазосварщик,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью фирма ""777""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Кислородная резка металлов;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~2815720,Молодежная практика,Строительство и архитектура
Маляр-штукатур,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью фирма ""777""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Выполнение внешний штукатурки стен;,https://enbek.kz/ru/vacancy/malyar-shtukatur~2815721,Молодежная практика,Строительство и архитектура
Техник (общий профиль),Производство,от 103 500 тенге,"Государственное учреждение ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог города Темиртау""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Проведение экспериментальных работ и исследований;,https://enbek.kz/ru/vacancy/tekhnik-(obshchii-profil)~2817543,Молодежная практика,Сервисное обслуживание/производство
Техник-строитель,Строительство и архитектура,от 103 500 тенге,"Государственное учреждение ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог города Темиртау""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Управление полным циклом строительства;,https://enbek.kz/ru/vacancy/tekhnik-stroitel~2817544,Молодежная практика,Строительство и архитектура
Зубной врач,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""AriDent""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,"Лечение травм зубов, повреждений мягких тканей лица и полости рта;",https://enbek.kz/ru/vacancy/zubnoi-vrach~2818015,Молодежная практика,Медицина
Врач-стоматолог,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""AriDent""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,"Лечение кариеса, некариозных поражений твердых тканей временных, постоянных зубов с несформированными корнями;",https://enbek.kz/ru/vacancy/vrach-stomatolog~2818016,Молодежная практика,Медицина
