Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Кредитный менеджер/верификатор,57,от 120 000 до 120 000 KZT на руки,не требуется,ТОО Микрофинансовая организация ProfitЦентр,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Шевченко, 165Б",сменный график,"Полная занятость, сменный график",Работа в команде;Работа с большим объемом информации;Телефонные переговоры;Грамотность;Точность и внимательность;Знание MS Office;Пользователь ПК;Грамотная речь;Работа с компьютером;Ответственность и пунктуальность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80878982
Менеджер-стажер в Визовый центр и консалтинг,72,от 150 000 до 150 000 KZT на руки,не требуется,ИП АльфаКонсалт,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Жибек Жолы, улица Гоголя, 89",полный день,"Стажировка, полный день",Коммуникативные навыки;Грамотная речь;Сопровождение клиентов;Работа с документами;Умение расставлять приоритеты;Пользователь ПК;Клиентоориентированность;Деловая этика;Телефонные переговоры;Русский — C2 — В совершенстве;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80877980
Стажер в отдел бухгалтерии,40,от 50 000 до 60 000 KZT на руки,не требуется,ТОО Prof Advisor,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, улица Колпаковского, 44",полный день,"Стажировка, полный день",MS Office;Пользователь ПК;Английский язык;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80923167
Оператор на станок термопласт автомат,85,от 150 000 KZT на руки,не требуется,ТОО Mould Technologies,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, улица Папанина, 2/2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80686665
Оператор Call centra,40,от 200 до 400 USD до вычета налогов,не требуется,ООО Middle Asia Management Consulting,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день","Ответственность и исполнительность;умение проявлять внимание, заинтересованность, дружелюбие;Пользователь ПК;Русский язык;Казахский язык;",https://almaty.hh.kz/vacancy/80791761
Специалист Управления взысканий,40,от 170 000 до 300 000 KZT на руки,не требуется,ТОО Казахстанский долговой центр,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, Жибек Жолы, проспект Жибек Жолы, 50",полный день,"Полная занятость, полный день",Грамотная речь;Телефонные переговоры;Грамотность;Деловое общение;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/80500737
Менеджер по работе с клиентами,120,от 100 000 до 450 000 KZT до вычета налогов,не требуется,ТОО Коллекторское Агентство Прогресс,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Байзакова, 125",полный день,"Полная занятость, полный день",Взыскание задолженности;Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;,https://almaty.hh.kz/vacancy/80230214
Специалист call-центра/Оператор,121,от 150 000 до 190 000 KZT на руки,не требуется,ТОО Nurplat,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Москва, 22-я линия, 46",полный день,"Полная занятость, полный день",Грамотная речь;Консультирование;Пользователь ПК;Деловое общение;вежливость;Работа с оргтехникой;Навыки работы с возражениями;Работа в команде;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80956074
Специалист колл-центра/оператор,121,от 150 000 до 190 000 KZT на руки,не требуется,ТОО CASH PAYMENTS,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, 22-я линия, 46",полный день,"Полная занятость, полный день",входящие звонки;Консультирование клиентов по телефону;Работа с претензиями;Техническая поддержка;Пользователь ПК;Консультирование клиентов;Работа в команде;Ведение отчетности;,https://almaty.hh.kz/vacancy/80996642
Специалист по взысканию задолженности,147,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Коллекторское агентство «Nova Collection»,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 404/67",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80490999
Специалист по взысканию задолженности,120,от 160 000 KZT на руки,не требуется,ТОО Евразийское коллекторское агентство,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Жибек Жолы, улица Жибек Жолы, 50",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80861253
Ассистент менеджера по продажам,40,з/п не указана,не требуется,ТОО BTL Kazakhstan,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, улица Ади Шарипова, 92",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81080738
Специалист по взысканию долгов ( с оконченным образованием),40,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Коллекторское агентство Кредит Коллекшн Груп,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, микрорайон Алмагуль, 4",гибкий график,"Полная занятость, гибкий график",Работа в команде;Грамотная речь;Телефонные переговоры;Обучение и развитие;Желание учиться и развиваться;входящие звонки;исходящие звонки;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80922371
Администратор в студию ногтевого сервиса,8,от 150 000 до 250 000 KZT до вычета налогов,не требуется,Студия маникюра Лены Лениной,Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Консультирование клиентов;Ведение клиентской базы;Работа с кассой;Клиентоориентированность;Грамотная речь;Консультативные продажи;Консультирование клиентов по телефону;,https://almaty.hh.kz/vacancy/79816049
Администратор салона красоты,8,от 180 000 до 300 000 KZT на руки,не требуется,ИП Конарбаев Б.Б.,Вакансия опубликована 30 апреля 2023 в Алматы,"Алматы, 2-й микрорайон, 55",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Работа с людьми;Умение работать в коллективе;Материальная ответственность;Способность быстро обучаться;Русский язык;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/79944104
СММ менеджер,40,от 50 000 до 50 000 KZT на руки,не требуется,ТОО Исекар и К,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Шевченко, 118",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80791043
Администратор ресепшен,8,от 150 000 до 250 000 KZT до вычета налогов,не требуется,ИП Джакаева,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Английский язык;Грамотная речь;Деловое общение;Работа в команде;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80548747
