Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Инженер по обслуживанию медицинской техники,111,до 300 000 KZT до вычета налогов,не требуется,ТОО TeDeCo,Вакансия опубликована 1 мая 2023 в Атырау,"Атырау, микрорайон Нурсая, 73/2",полный день,"Полная занятость, полный день",Умение работать в команде;Стремление к профессиональному росту;Работа с компьютером;Грамотная устная речь;Казахский — A1 — Начальный;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/79955966
Администратор,8,от 150 000 до 150 000 KZT до вычета налогов,не требуется,ИП Flatro,Вакансия опубликована 12 мая 2023 в Атырау,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Грамотная речь;Английский язык;Работа с клиентами;Прием посетителей;Поиск информации в интернет;исполнение поручений руководителя;Работа в условиях многозадачности;Английский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/79203660
Тайный покупатель ( подработка ),40,до 70 000 KZT на руки,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80655765
Кухонный работник,40,от 160 000 до 160 000 KZT на руки,не требуется,ТОО ЮСС Супорт Сервисез,Вакансия опубликована 3 мая 2023 в Атырау,Жылыойский район,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Общественное питание;Управление производством;,https://almaty.hh.kz/vacancy/80019358
Консультант в Центральное ЦБО,40,з/п не указана,не требуется,АО Jusan Bank,Вакансия опубликована 23 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Ориентация на клиента;Планирование карьеры;Оценка потребностей клиентов;Творческое мышление;Способность быстро обучаться;Умение работать с клиентами;Способность работать с документами;Умение быстро усваивать новую информацию;,https://almaty.hh.kz/vacancy/79854691
Менеджер по ценообразованию (можно без опыта),40,до 150 000 KZT до вычета налогов,не требуется,ТОО Идеал Трейд Маркет,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",MS PowerPoint;Работа с большим объемом информации;Ценообразование;,https://almaty.hh.kz/vacancy/80413713
Специалист по автокредитованию,57,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 23 мая 2023 в Атырау,Атырау,полный день,"Полная занятость, полный день","Активные продажи;Кредитные договоры;MS Internet Explorer;Навыки продаж;Консультирование клиентов;Создание, развитие и ведение клиентской базы;",https://almaty.hh.kz/vacancy/80893612
Специалист по тендерам,119,з/п не указана,не требуется,ТОО Сервисный центр КазТурбоРемонт,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80627628
"Администратор ресепшен (со знанием английского языка), п. Тенгиз",40,з/п не указана,не требуется,ТОО Caspian Offshore Construction Realty,Вакансия опубликована 18 мая 2023 в Атырау,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/80657305
Специалист по обслуживанию клиентов,57,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 24 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Кредитные договоры;Работа в команде;Грамотная речь;Оценка потребностей клиентов;Работа с юридическими лицами;,https://almaty.hh.kz/vacancy/80929993
Piping engineer,40,з/п не указана,не требуется,ТОО Tenaz Management,Вакансия опубликована 5 мая 2023 в Атырау,"Атырау, проспект Азаттык, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80132812
Администратор офиса,8,от 100 000 до 160 000 KZT до вычета налогов,не требуется,ИП Алимгалиева Г.Т.,Вакансия опубликована 2 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79966775
Deutschsprachiger Kundenbetreuer in Batumi (Georgian),40,от 2 300 GEL до вычета налогов,не требуется,Majorel Georgia LLC,Вакансия опубликована 28 апреля 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79916569
Специалист по оценке смартфонов / Начинающий специалист,57,от 160 000 до 200 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, улица Мусы Баймуханова, 68Б",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81069498
Мерчендайзер на канал А в г. Атырау,40,от 170 000 KZT на руки,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 16 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80502465
Торговый представитель,129,от 300 000 до 350 000 KZT до вычета налогов,не требуется,ИП Кучменко И.А.,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Способность обучать других;Торговля;Хорошая память;Опрятность;,https://almaty.hh.kz/vacancy/80187125
Кредитный менеджер (г. Атырау),40,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО МФО Экспресс займ,Вакансия опубликована 12 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80332366
Ассистент менеджера,40,з/п не указана,не требуется,АО Народный банк Казахстана,Вакансия опубликована 17 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день","Пользователь ПК;Составление договоров;Точность и внимательность к деталям;Деловая переписка;Работа с документами длительного хранения;Высшее образование;Умение работать в условиях многозадачности;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80587487
